Station Name: ATHENRY
Station Height: 40 M 
Latitude:53.287  ,Longitude: -8.785


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
meant: -  Mean Air Temperature (C)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)	
mnmax: -  Mean Maximum Temperature (C)
mnmin: -  Mean Minimum Temperature (C)
gmin:  -  Grass Minimum Temperature (C)
wdsp:  -  Mean Wind Speed (knot)
mxgt:  -  Highest Gust (knot)
sun:   -  Sunshine duration (hours)
ind:   -  Indicator

year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
2011,7,14.0,21.5,5.4,17.6,10.4,55.3, ,6.2,36, 
2011,8, , , , , ,94.5, ,6.0,32, 
2011,9, , , , , ,138.8, ,9.6,50, 
2011,10, , , , , ,149.2, ,8.9,41, 
2011,11, , , , , ,152.9, ,8.8,44, 
2012,1, , , , , ,131.1, ,9.5,48, 
2012,2,7.2,12.6,-4.2,9.6,4.7,62.3,-8.9,7.8,37, 
2012,3,8.5,19.9,-0.5,12.7,4.2,30.5,-4.2,7.0,36, 
2012,4, , , , , ,74.8, ,7.8,38, 
2012,5,11.1,25.7,-0.4,15.6,6.5,48.2,-4.0,7.4,41, 
2012,6,12.9,22.2,5.0,16.3,9.6,175.6,0.8,7.0,34, 
2012,7,14.1, , ,17.6,10.6,117.9, ,6.8,29, 
2012,8,15.4, , ,18.9,12.0,114.2, ,7.3,34, 
2012,9,12.1,20.1,2.5,15.9,8.3,101.4,-0.3,7.6,34, 
2012,10,8.1,15.3,-2.4,12.4,3.8,127.7,-7.8,6.4,31, 
2012,11,5.8,13.2,-3.5,9.1,2.6,131.8,-6.6,6.9,41, 
2012,12,5.4,13.3,-3.2,8.5,2.3,153.2,-8.0,7.9,50, 
2013,1,5.2,12.9,-4.9,8.4,2.0,132.2,-9.2,7.9,52, 
2013,2,4.7,11.4,-4.8,8.1,1.4,46.5,-10.8,7.7,44, 
2013,3,3.8,14.3,-6.3,7.6,-0.0,36.9,-8.5,8.9,37, 
2013,4,7.2, , ,11.5,2.8,97.2,-9.2,9.7,44, 
2013,5,10.2,19.5,3.0,13.9,6.5,97.2,-0.2,9.3,36, 
2013,6,13.3,24.3,6.4,17.6,9.1,61.4,2.1,6.9,35, 
2013,7,17.5,29.2,8.6,22.3,12.7,101.5,3.6,5.6,27, 
2013,8,15.0,21.3,7.8,18.6,11.3,72.8,4.2,6.9,29, 
2013,9,13.6,22.3,4.8,17.3,10.0,47.9,2.6,6.8,35, 
2013,10,11.7,20.3,1.4,15.3,8.1,120.0,-2.1,7.1,41, 
2013,11,6.4,13.4,-3.6,9.9,2.9,100.0,-7.8,5.7,40, 
2013,12,6.9,15.0,-1.6,9.9,4.0,220.3,-6.6,9.8,60, 
2014,1,5.3,12.3,-2.2,8.3,2.2,182.5,-7.2,8.6,46, 
2014,2,5.5,11.3,-3.2,8.7,2.3,177.7,-7.2,10.4,55, 
2014,3,6.9,14.3,-0.9,10.5,3.4,103.1,-6.9,8.1,43, 
2014,4,10.1,18.5,0.5,14.5,5.6,47.6,-3.3,7.5,40, 
2014,5,11.5,21.4,4.7,15.2,7.8,103.1, ,7.3,37, 
2014,6,14.4,24.7,2.6,19.0,9.9,38.6,-1.0,5.6,28, 
2014,7,16.1,26.6,6.5,20.1,12.1,92.4,0.7,5.9,28, 
2014,8,13.8,21.7,5.9,17.7,9.9,104.9,2.1,7.3,36, 
2014,9,13.9,22.6,2.9,18.7,9.1,10.4,-0.9,4.9,25, 
2014,10,10.5,17.3,-0.0,14.7,6.4,140.9,-4.2,7.7,38, 
2014,11,6.9,13.8,-1.9,10.8,3.1,139.0,-7.3,6.1,34, 
2014,12,5.6,12.1,-4.7,8.7,2.5,124.1,-8.9,8.5,46, 
2015,1,4.9,13.7,-4.7,8.3,1.5,191.1,-10.1,9.7,49, 
2015,2,4.5,12.0,-5.4,8.0,1.1,68.7,-10.5,7.0,47, 
2015,3,6.0,13.6,-4.1,10.5,1.5,129.9,-9.0,8.6,44, 
2015,4,8.3,19.1,-1.8,14.2,2.5,74.8,-5.4,6.8,34, 
2015,5,9.8,16.5,1.8,13.6,6.1,138.0, ,8.7,43, 
2015,6,12.4,22.8,2.4,16.7,8.1,44.9,0.7,7.5,38, 
2015,7,13.5,21.3,4.4,17.2,9.9,138.2,-0.3,7.5,36, 
2015,8,13.5,20.9,4.9,17.2,9.7,114.6,1.9,6.6,34, 
2015,9,12.3,20.2,4.1,16.0,8.5,93.3,0.9,6.1,29, 
2015,10,10.0,17.4,0.0,14.1,6.0,66.6,-1.5,5.7,36, 
2015,11,9.0,16.3,-1.1,12.4,5.6,216.3,-3.4,9.2,49, 
2015,12,8.1,14.8,-0.6,11.1,5.1,299.4,-1.5,10.3,44, 
2016,1,5.7,14.1,-3.7,8.7,2.7,145.2,-5.6,8.4,47, 
2016,2,4.7,11.7,-5.1,8.2,1.1,129.8,-9.7,8.3,47, 
2016,3,6.3,13.6,-2.4,10.2,2.3,79.4,-6.4,7.2,48, 
2016,4,7.2,17.2,-0.9,11.8,2.6,49.2,-4.9,7.6,38, 
2016,5,11.8,22.2,0.1,16.6,7.0,56.7,-3.7,6.8,33, 
2016,6,14.9,23.5,4.3,18.8,10.9,98.5,-0.0,6.4,30, 
2016,7,14.8,28.4,7.4,18.0,11.7,85.1,3.6,6.4,31, 
2016,8,15.3,25.5,8.0,18.8,11.7,96.3,3.0,7.3,35, 
2016,9,13.7,21.6,5.0,17.2,10.2,138.0,0.7,7.0,37, 
2016,10,10.3,17.2,-0.6,13.9,6.6,58.4,-0.1,6.1,30, 
2016,11,5.5,13.7,-4.7,9.1,1.9,59.1,-8.8,5.7,34, 
2016,12,6.8,14.5,-4.4,10.0,3.6,78.5,-9.3,7.1,36, 
2017,1,6.2,12.4,-2.8,9.0,3.4,47.4,-7.8,6.6,41, 
2017,2,6.1,12.4,-2.7,9.4,2.8,87.5,-6.9,8.9,50, 
2017,3,8.0,16.7,-0.5,11.6,4.3,142.6,-3.5,8.3,36, 
2017,4,8.9,17.6,0.2,12.7,5.0,13.5,-2.4,6.4,32, 
2017,5,12.2,25.0,2.0,17.4,7.1,61.4,-0.2,6.7,32, 
2017,6,13.8,24.2,6.6,17.0,10.5,119.5,2.0,7.9,33, 
2017,7,14.4,23.9,5.9,18.4,10.4,136.8,1.4,6.7,34, 
2017,8,13.8,21.1,5.4,17.6,10.0,103.1,2.4,6.3,29, 
2017,9,12.2,20.7,2.2,16.0,8.4,118.3,-0.4,6.9,38, 
2017,10,11.1,16.9,1.9,14.4,7.7,123.3,-2.1,8.1,50, 
2017,11,6.8,13.5,-2.8,10.2,3.3,88.9,-7.8,6.1,33, 
2017,12,5.6,13.5,-4.1,8.8,2.4,157.7,-8.8,7.0,52, 
2018,1,5.3,11.9,-6.8,8.4,2.2,173.2,-11.8,8.9,46, 
2018,2,3.6,12.5,-4.8,7.1,0.2,78.0,-7.4,7.5,41, 
2018,3,4.5,13.4,-5.4,8.4,0.6,81.4,-11.5,7.8,38, 
2018,4,8.6,17.9,-4.2,12.6,4.6,82.2,-10.6,8.0,38, 
2018,5,12.1,25.8,0.7,17.0,7.2,62.5,-2.5,6.6,31, 
2018,6,15.9,30.2,3.2,21.3,10.4,25.2,-0.3,5.9,47, 
2018,7,16.0,25.7,7.9,20.5,11.4,69.7,5.5,5.9,30, 
2018,8,14.7,21.3,4.7,18.1,11.3,126.1,3.6,6.5,32, 
2018,9,11.6,22.0,-0.6,15.8,7.5,98.8,-1.4,6.5,55, 
2018,10,9.2,20.7,-2.0,13.2,5.2,73.8,-1.5,6.8,40, 
2018,11,7.6,15.1,-2.6,10.8,4.4,86.3,-2.4,7.8,44, 
